model,layer,pooling,spearman_rho,p_value,n_pairs,model_name
BERTurk,1,first,0.4266940148626279,1.533853159284731e-23,500,dbmdz/bert-base-turkish-cased
BERTurk,1,last,0.33394878912681575,1.721118178896909e-14,500,dbmdz/bert-base-turkish-cased
BERTurk,1,mean,0.3252259652497119,8.800175933630869e-14,500,dbmdz/bert-base-turkish-cased
BERTurk,1,max,0.23272557635591606,1.414801030010414e-07,500,dbmdz/bert-base-turkish-cased
BERTurk,7,first,0.3150506288789555,5.531051885527727e-13,500,dbmdz/bert-base-turkish-cased
BERTurk,7,last,0.28722788417963874,5.951603977923507e-11,500,dbmdz/bert-base-turkish-cased
BERTurk,7,mean,0.3051037651814941,3.12074738267992e-12,500,dbmdz/bert-base-turkish-cased
BERTurk,7,max,0.2802605505670726,1.7776066104087963e-10,500,dbmdz/bert-base-turkish-cased
BERTurk,12,first,0.3560348819612285,2.1776679857602727e-16,500,dbmdz/bert-base-turkish-cased
BERTurk,12,last,0.3406451994872275,4.745114810427542e-15,500,dbmdz/bert-base-turkish-cased
BERTurk,12,mean,0.35626422097286753,2.077249297802025e-16,500,dbmdz/bert-base-turkish-cased
BERTurk,12,max,0.3223381707694723,1.4932611555911243e-13,500,dbmdz/bert-base-turkish-cased
mBERT,1,first,0.13599533862709717,0.0023074820103367597,500,bert-base-multilingual-cased
mBERT,1,last,0.03190156188302326,0.4766280399772438,500,bert-base-multilingual-cased
mBERT,1,mean,-0.023127383394079156,0.6059112105358864,500,bert-base-multilingual-cased
mBERT,1,max,-0.11930460847993213,0.0075715918973970125,500,bert-base-multilingual-cased
mBERT,7,first,0.09043961062278887,0.043241107212271195,500,bert-base-multilingual-cased
mBERT,7,last,0.07325939931122322,0.10179164312355107,500,bert-base-multilingual-cased
mBERT,7,mean,0.03414268291932123,0.4462003445429127,500,bert-base-multilingual-cased
mBERT,7,max,-0.014201595694922478,0.7514116781020614,500,bert-base-multilingual-cased
mBERT,12,first,0.1545530279057371,0.0005241109973414284,500,bert-base-multilingual-cased
mBERT,12,last,0.12514165933293253,0.005074399787878068,500,bert-base-multilingual-cased
mBERT,12,mean,0.09395713681935276,0.035699363747121626,500,bert-base-multilingual-cased
mBERT,12,max,-0.0055534694350408385,0.9014186017832451,500,bert-base-multilingual-cased
XLM-R,1,first,0.1211717120011311,0.006673701908859176,500,xlm-roberta-base
XLM-R,1,last,0.09734817761768215,0.029518274793053616,500,xlm-roberta-base
XLM-R,1,mean,-0.0629522351224439,0.15986494009483346,500,xlm-roberta-base
XLM-R,1,max,-0.03144933326741773,0.48290248706483163,500,xlm-roberta-base
XLM-R,7,first,0.059574526308631616,0.18352676109997132,500,xlm-roberta-base
XLM-R,7,last,0.06758632705479246,0.1312426325143285,500,xlm-roberta-base
XLM-R,7,mean,-0.052757261749221906,0.23897373912482844,500,xlm-roberta-base
XLM-R,7,max,0.023031075448163164,0.6074130181910558,500,xlm-roberta-base
XLM-R,12,first,0.11532227046456527,0.009855853662984911,500,xlm-roberta-base
XLM-R,12,last,0.09759392892795055,0.029108373120340994,500,xlm-roberta-base
XLM-R,12,mean,0.014048927626733808,0.7539974663561,500,xlm-roberta-base
XLM-R,12,max,0.10778072280355959,0.015906872708452615,500,xlm-roberta-base
