model,model_name,layer,pooling,isolated_spearman_rho,contextual_spearman_rho,contextual_minus_isolated,relative_contextual_gain,isolated_p_value,contextual_p_value,isolated_n_pairs,contextual_n_pairs
BERTurk,dbmdz/bert-base-turkish-cased,7,first,0.3150506288789555,0.5275383971276283,0.21248776824867277,0.6744559406364872,5.531051885527727e-13,3.630230351379531e-37,500,500
XLM-R,xlm-roberta-base,7,first,0.0595745263086316,0.2478031363765112,0.18822861006787958,3.159548581095602,0.1835267610999713,1.9657533381329395e-08,500,500
mBERT,bert-base-multilingual-cased,7,last,0.0732593993112232,0.244137610712835,0.1708782114016118,2.3325090433199005,0.101791643123551,3.2150297012396584e-08,500,500
mBERT,bert-base-multilingual-cased,7,mean,0.0341426829193212,0.1827466616761326,0.1486039787568114,4.352439997406209,0.4462003445429127,3.943257494721701e-05,500,500
mBERT,bert-base-multilingual-cased,7,first,0.0904396106227888,0.2325159706065586,0.1420763599837698,1.5709528049202999,0.0432411072122711,1.452815810448043e-07,500,500
BERTurk,dbmdz/bert-base-turkish-cased,7,last,0.2872278841796387,0.4139007002759023,0.12667281609626363,0.4410185189994981,5.951603977923507e-11,4.0854903464803014e-22,500,500
XLM-R,xlm-roberta-base,7,last,0.0675863270547924,0.1898227688807879,0.1222364418259955,1.8085971993551022,0.1312426325143285,1.9298846218785708e-05,500,500
BERTurk,dbmdz/bert-base-turkish-cased,7,mean,0.3051037651814941,0.4260247203619244,0.12092095518043028,0.3963273121473909,3.1207473826799197e-12,1.827595555839097e-23,500,500
XLM-R,xlm-roberta-base,7,mean,-0.0527572617492219,0.061881296539447,0.1146385582886689,2.172943676144444,0.2389737391248284,0.1671041053869647,500,500
XLM-R,xlm-roberta-base,12,mean,0.0140730407106438,0.1141037387509285,0.1000306980402847,7.107966224003667,0.7535888715310721,0.0106678289105164,500,500
BERTurk,dbmdz/bert-base-turkish-cased,12,first,0.3560348819612285,0.4526485971827697,0.09661371522154116,0.27136025180831075,2.1776679857602727e-16,1.2598318235046884e-26,500,500
BERTurk,dbmdz/bert-base-turkish-cased,12,mean,0.3562642209728675,0.4504409264325345,0.09417670545966705,0.2643451121824535,2.077249297802025e-16,2.3616422192235264e-26,500,500
BERTurk,dbmdz/bert-base-turkish-cased,12,last,0.3406451994872275,0.407715622058125,0.06707042257089751,0.19689231690879097,4.7451148104275415e-15,1.90000175818101e-21,500,500
XLM-R,xlm-roberta-base,12,first,0.1153344686284987,0.180605554588667,0.06527108596016831,0.5659287005553523,0.0098480108130686,4.869498110126077e-05,500,500
mBERT,bert-base-multilingual-cased,7,max,-0.0142015956949224,0.05044510096871,0.0646466966636324,4.552072742554276,0.7514116781020614,0.2602161279378081,500,500
XLM-R,xlm-roberta-base,7,max,0.0230310754481631,0.0868838211493618,0.0638527457011987,2.7724604456667454,0.6074130181910558,0.0521865559619386,500,500
BERTurk,dbmdz/bert-base-turkish-cased,7,max,0.2802605505670726,0.3376567653693514,0.0573962148022788,0.2047959111125153,1.7776066104087963e-10,8.465374298774332e-15,500,500
mBERT,bert-base-multilingual-cased,12,last,0.1251416593329325,0.1714851776714502,0.046343518338517686,0.37032846284404225,0.005074399787878,0.0001164366678808,500,500
XLM-R,xlm-roberta-base,12,last,0.0976150098276563,0.1419325478186538,0.04431753799099751,0.4540033143390768,0.029073439718377,0.0014631870317881,500,500
XLM-R,xlm-roberta-base,12,max,0.1077898167694246,0.1414897045351091,0.033699887765684486,0.3126444480165747,0.0158979502639068,0.001514668716217,500,500
BERTurk,dbmdz/bert-base-turkish-cased,12,max,0.3223381707694723,0.3527321114141784,0.030393940644706074,0.0942920925937841,1.4932611555911245e-13,4.2797654263953804e-16,500,500
BERTurk,dbmdz/bert-base-turkish-cased,1,first,0.4266940148626279,0.4554684322329078,0.02877441737027986,0.0674357182618173,1.533853159284731e-23,5.6082685503002985e-27,500,500
mBERT,bert-base-multilingual-cased,12,mean,0.0939571368193527,0.1140367900488949,0.020079653229542208,0.21371078248317085,0.0356993637471216,0.010714111827036,500,500
mBERT,bert-base-multilingual-cased,12,first,0.1545530279057371,0.1739303213877771,0.01937729348203998,0.12537634328237374,0.0005241109973414,9.256318626333202e-05,500,500
XLM-R,xlm-roberta-base,1,first,0.1211717120011311,0.1365909462386466,0.015419234237515497,0.1272511049226701,0.0066737019088591,0.0022061378087488,500,500
XLM-R,xlm-roberta-base,1,mean,-0.0629522351224439,-0.0485178350625061,0.014434400059937798,0.22929130366638256,0.1598649400948334,0.2788909040582798,500,500
BERTurk,dbmdz/bert-base-turkish-cased,1,last,0.3339487891268157,0.3294359364327293,-0.004512852694086411,-0.013513606999103906,1.721118178896909e-14,4.0298314011551805e-14,500,500
XLM-R,xlm-roberta-base,1,last,0.0973481776176821,0.0901979503547008,-0.0071502272629812985,-0.07345003715490764,0.0295182747930536,0.0438051843779379,500,500
mBERT,bert-base-multilingual-cased,1,max,-0.1193046084799321,-0.1364246092765847,-0.0171200007966526,-0.1434982354393486,0.007571591897397,0.00223402318347,500,500
mBERT,bert-base-multilingual-cased,1,mean,-0.0231273833940791,-0.0410824862245091,-0.01795510283043,-0.7763568633979895,0.6059112105358864,0.3592893042788879,500,500
mBERT,bert-base-multilingual-cased,12,max,-0.0055534694350408,-0.0313791598615479,-0.0258256904265071,-4.650370498765041,0.9014186017832452,0.4838801013282311,500,500
BERTurk,dbmdz/bert-base-turkish-cased,1,mean,0.3252259652497119,0.2990296745315741,-0.026196290718137838,-0.080547968235021,8.800175933630869e-14,8.695900446012374e-12,500,500
mBERT,bert-base-multilingual-cased,1,first,0.1359953386270971,0.0974250892106725,-0.03857024941642459,-0.2836144959511095,0.0023074820103367,0.0293894609548615,500,500
mBERT,bert-base-multilingual-cased,1,last,0.0319015618830232,-0.0086340241968364,-0.0405355860798596,-1.2706458144117105,0.4766280399772438,0.8472855384431327,500,500
BERTurk,dbmdz/bert-base-turkish-cased,1,max,0.232725576355916,0.1834385772335981,-0.049286999122317904,-0.21178161805018558,1.414801030010414e-07,3.6814574980274313e-05,500,500
XLM-R,xlm-roberta-base,1,max,-0.0314493332674177,-0.0886119254962452,-0.057162592228827504,-1.8176090330045052,0.4829024870648316,0.0476630123886956,500,500
