pair_type,model,input_condition,n_pairs,category_share,rank_1_spearman_rho,rank_1_p_value,rank_1_layer,rank_1_composition_strategy,rank_2_spearman_rho,rank_2_p_value,rank_2_layer,rank_2_composition_strategy,rank_3_spearman_rho,rank_3_p_value,rank_3_layer,rank_3_composition_strategy
clean,BERTurk,isolated,225,0.45,0.5225130902830277,3.6640870669720685e-17,1,first,0.5225130902830277,3.6640870669720685e-17,1,last,0.5225130902830277,3.6640870669720685e-17,1,mean
clean,BERTurk,contextual,225,0.45,0.5764639456240198,2.5280253051319675e-21,7,max,0.5755713898938393,3.0057541905240864e-21,7,first,0.5739180793387026,4.13612411893853e-21,7,last
clean,mBERT,isolated,12,0.024,-0.0979020979020979,0.762121655996299,7,first,-0.0979020979020979,0.762121655996299,7,last,-0.0979020979020979,0.762121655996299,7,mean
clean,mBERT,contextual,12,0.024,0.034965034965034975,0.9140933424107598,7,last,0.034965034965034975,0.9140933424107598,7,max,0.0,1.0,7,first
clean,XLM-R,isolated,93,0.186,0.1537807206305896,0.1410965363324623,7,first,0.1537807206305896,0.1410965363324623,7,last,0.1537807206305896,0.1410965363324623,7,mean
clean,XLM-R,contextual,93,0.186,0.3126670627013948,0.0022780519347358136,7,first,0.2948944243254394,0.004111211823336206,7,mean,0.2733821421752909,0.008014513549600984,7,max
one_word_split,BERTurk,isolated,170,0.34,0.37553301268473904,4.507911508058218e-07,1,mean,0.28597756457422796,0.00015654914365177808,1,first,0.2386888883014733,0.0017209121713484148,1,max
one_word_split,BERTurk,contextual,170,0.34,0.4936493874899537,7.914458930970101e-12,7,first,0.4877898831001359,1.5125615811634628e-11,12,mean,0.4754882496460451,5.6649191973805715e-11,7,mean
one_word_split,mBERT,isolated,86,0.172,0.25599821948732115,0.01735589435963462,12,last,0.23292229703851572,0.03091204105334463,12,mean,0.21110265690067673,0.05104671464546691,12,max
one_word_split,mBERT,contextual,86,0.172,0.4331906997235641,3.099438191470114e-05,7,mean,0.41238175287349527,7.966808701115537e-05,7,last,0.38889966396324943,0.00021515370178676067,7,first
one_word_split,XLM-R,isolated,188,0.376,0.07582606148164958,0.30102848649536856,12,last,0.06648812671402829,0.36463801980457655,12,max,0.030081243734809537,0.6819561913137004,12,mean
one_word_split,XLM-R,contextual,188,0.376,0.21826447739758034,0.0026202493556669623,7,last,0.19809787521930328,0.006427693727598148,12,mean,0.1971013331422382,0.006705208453044883,7,mean
both_words_split,BERTurk,isolated,105,0.21,0.17366598361777488,0.07643876516870268,1,first,0.13580388712302566,0.16717862647097925,12,mean,0.12856562216857229,0.19118985216086715,12,first
both_words_split,BERTurk,contextual,105,0.21,0.318646021392177,0.0009234614561162774,7,first,0.20199577749522662,0.03878921912940453,1,first,0.17786124427516792,0.06948994761859324,7,mean
both_words_split,mBERT,isolated,402,0.804,0.16693997637280503,0.0007785119213069068,12,first,0.14768174554125915,0.0029966592464756954,1,first,0.14395945510724903,0.0038222440881198246,7,first
both_words_split,mBERT,contextual,402,0.804,0.22728630679233625,4.159083032395886e-06,7,last,0.2130095413014828,1.6544008393521114e-05,7,first,0.19385278956928312,9.160979366793778e-05,7,mean
both_words_split,XLM-R,isolated,219,0.438,0.1624484138345943,0.016116597803758057,1,first,0.14983433629293166,0.026610270261802568,12,max,0.12332056415617432,0.06853200773793953,12,mean
both_words_split,XLM-R,contextual,219,0.438,0.21010287050326945,0.0017695109432418591,7,first,0.15689863276591845,0.020178829481099912,7,mean,0.154228725685743,0.022430848866274136,7,max
